date,dead,missing,latitude,longitude
2016-06-20T00:00:00Z,8,0,35.8150919,36.3123961
2016-06-16T00:00:00Z,1,0,37.8136546,23.8362307
2016-06-12T00:00:00Z,1,0,33.5784085,11.9031222
2016-06-02T00:00:00Z,2,0,46.1174981,19.5601164
2016-06-07T00:00:00Z,0,1,36.5174058,-6.4323074
2016-06-07T00:00:00Z,1,0,50.9010024,4.4833857
2016-06-09T00:00:00Z,1,0,35.28,-2.93
2016-06-01T00:00:00Z,1,0,46.1675227,"20.0005179,14"
2016-06-03T00:00:00Z,10,329,32.6853649,25.9012421
2016-06-02T00:00:00Z,133,0,32.8708471,12.0631696
2016-05-30T00:00:00Z,1,0,59.2549613,18.0629447
2016-06-01T00:00:00Z,2,0,40.2712228,22.4930176
2016-05-29T00:00:00Z,1,0,38.9633049,20.7539809
2016-05-30T00:00:00Z,1,0,33.4625958,13.1328688
2016-05-28T00:00:00Z,1,0,37.2912498,13.2358149
2016-05-26T00:00:00Z,0,9,35.3626838,15.9465353
2016-05-25T00:00:00Z,4,0,35.4811424,12.5794085
2016-05-28T00:00:00Z,1,0,50.95129,1.858686
2016-05-25T00:00:00Z,1,0,26.33,17.22
2016-05-27T00:00:00Z,45,215,33.5259117,8.0491191
2016-05-26T00:00:00Z,4,0,33.2286864,12.033724
2016-05-26T00:00:00Z,0,47,33.1328706,12.2549685
2016-05-26T00:00:00Z,0,500,33.3572511,11.3470785
2016-05-25T00:00:00Z,5,250,34.0593093,12.3110937
2016-05-22T00:00:00Z,0,10,37.4798643,2.4963183
2016-05-19T00:00:00Z,1,0,38.3760672,25.7167902
2016-05-16T00:00:00Z,2,0,31.540432,30.861969
2016-05-12T00:00:00Z,1,0,35.89473,-5.32132
2016-05-09T00:00:00Z,4,0,36.85,36.83
2016-05-09T00:00:00Z,1,0,50.95129,1.858686
2016-05-05T00:00:00Z,28,0,36.1914269,36.7084276
2016-04-29T00:00:00Z,0,9,35.9395293,10.8791731
2016-04-30T00:00:00Z,1,0,37.713446,26.7753292
2016-04-29T00:00:00Z,1,0,37.8391619,23.4804105
2016-04-29T00:00:00Z,23,0,37.2768876,10.8044894
2016-04-29T00:00:00Z,84,0,32.90608,12.443467
2016-04-26T00:00:00Z,13,0,31.797583,14.053676
2016-04-21T00:00:00Z,1,0,41.122493,22.510477
2016-04-22T00:00:00Z,1,0,36.89,27.182
2016-04-18T00:00:00Z,5,0,36.85,36.83
2016-04-20T00:00:00Z,8,0,36.65,37.04
2016-04-15T00:00:00Z,1,0,37.75,26.97
2016-04-15T00:00:00Z,1,0,38.63,26.72
2016-04-13T00:00:00Z,469,0,32.97,24.53
2016-04-18T00:00:00Z,8,0,35.45,12.39
2016-04-14T00:00:00Z,1,0,50.0351,8.5735
2016-04-13T00:00:00Z,1,0,37.882,24.013
2016-04-11T00:00:00Z,7,0,32.8304,11.616
2016-04-13T00:00:00Z,1,0,38.086,23.98
2016-03-25T00:00:00Z,1,0,49.815273,6.129583
2016-04-09T00:00:00Z,5,4,37.75,26.96
2016-04-09T00:00:00Z,4,0,32.7610953,12.6998942
2016-04-03T00:00:00Z,1,0,37.845,23.76
2016-04-01T00:00:00Z,1,0,37.68,26.94
2016-04-01T00:00:00Z,1,0,51.761,-1.246
2016-03-31T00:00:00Z,12,0,31.61,30.77
2016-03-31T00:00:00Z,16,0,36.67,37.15
2016-03-30T00:00:00Z,4,86,32.81,12.45
2016-03-28T00:00:00Z,0,84,39.027,16.699
2016-03-31T00:00:00Z,1,0,45.1,5.3
2016-03-28T00:00:00Z,1,0,36.05,27.99
2016-03-25T00:00:00Z,12,0,32.88,13.7
2016-03-21T00:00:00Z,1,0,39.2200767,9.0264574
2016-03-24T00:00:00Z,1,0,38.25,27.73
2016-03-23T00:00:00Z,2,0,41.97,27.51
2016-03-21T00:00:00Z,4,0,35.5,11.98
2016-03-20T00:00:00Z,2,0,36.1553629,29.4271815
2016-03-20T00:00:00Z,2,0,36.09,26.57
2016-03-20T00:00:00Z,2,0,36.9,26.9
2016-03-19T00:00:00Z,1,0,37.46,15.09
2016-03-19T00:00:00Z,1,0,36.64,14.85
2016-03-19T00:00:00Z,9,0,32.8,12.61
2016-03-18T00:00:00Z,4,0,32.81,12.45
2016-03-14T00:00:00Z,0,8,36.8,27.2
2016-03-16T00:00:00Z,3,0,37.5,11.9
2016-03-13T00:00:00Z,1,0,35.28,-2.93
2016-03-14T00:00:00Z,3,0,21.1,22.5
2016-03-11T00:00:00Z,1,0,48,11.6
2016-03-09T00:00:00Z,1,0,37.7,27.01
2016-03-09T00:00:00Z,1,0,37.7,26.9
2016-03-09T00:00:00Z,5,2,39.3,26.4
2016-03-06T00:00:00Z,25,0,37.3,27.2
2016-03-05T00:00:00Z,10,0,35.8,36.4
2016-03-02T00:00:00Z,1,0,39.09,26.53
2016-03-01T00:00:00Z,42,0,,
2016-02-23T00:00:00Z,5,0,37.5,11.9
2016-02-17T00:00:00Z,2,0,36.7,37
2016-02-19T00:00:00Z,2,0,37.3,13.4
2016-02-17T00:00:00Z,1,0,38.3,26.1
2016-02-14T00:00:00Z,1,0,61.21,17.12
2016-02-01T00:00:00Z,0,1,50.9,1.8
2016-02-08T00:00:00Z,1,0,36.99,35.26
2016-02-10T00:00:00Z,1,0,50.9,1.8
2016-02-08T00:00:00Z,27,11,39.5,26.9
2016-02-07T00:00:00Z,2,0,41.9,27.5
2016-02-02T00:00:00Z,9,0,38.1,26.8
2016-01-31T00:00:00Z,3,0,37.3,27.2
